Уровень образования;Кафедра;Название программы;Вид обучения;Форма обучения;Даты проведения;Количество часов;Кто может учиться;Подать заявку
Высшее медицинское;Кафедра пропедевтики детских болезней и поликлинической педиатрии;Поликлиническая педиатрия;повышение квалификации;Очная;18.05.2027-19.06.2027;144;Педиатрия, Педиатрия (после специалитета), Общая врачебная практика (семейная медицина);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/159da7c9-f54c-a526-679f-043b177d1d02
Высшее медицинское;Кафедра пропедевтики детских болезней и поликлинической педиатрии;Детская кардиология;профессиональная переподготовка;Очная;06.09.2027-25.12.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/ac9e6c9d-7356-9e84-509b-e17b7e2726e2
Высшее медицинское;Кафедра психиатрии и клинической психологии;Психиатрия;профессиональная переподготовка;Очная;11.01.2027-04.05.2027<br>06.09.2027-25.12.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/97a3a100-9d80-55ad-fcdf-b43d0c950beb
Высшее медицинское;Кафедра психиатрии и клинической психологии;Психиатрия-наркология;профессиональная переподготовка;Очная;11.01.2027-04.05.2027<br>06.09.2027-25.12.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/4072bc07-4156-18f5-8938-25c3c07534d3
Высшее медицинское;Кафедра психиатрии и клинической психологии;Психотерапия;профессиональная переподготовка;Очная;11.01.2027-04.05.2027<br>06.09.2027-25.12.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/39560d15-d3b4-bfc7-d649-d1f03aad5c82
Высшее медицинское;Кафедра психиатрии и клинической психологии;Нарушения психического развития в раннем и дошкольном возрасте;повышение квалификации;Очная;15.11.2027-20.11.2027;36;Психиатрия, Педиатрия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/b0471dd4-2447-428d-af19-6859342268c1
Высшее медицинское;Кафедра психиатрии и клинической психологии;Психиатрия;повышение квалификации;Очная;01.02.2027-27.02.2027<br>01.11.2027-27.11.2027;144;Психиатрия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/6559fa56-3a90-4dbb-4d8d-50ad48309fcf
Высшее медицинское;Кафедра психиатрии и клинической психологии;Психиатрия-наркология;повышение квалификации;Очная;11.01.2027-06.02.2027<br>29.03.2027-24.04.2027<br>17.05.2027-11.06.2027<br>22.11.2027-25.12.2027;144;Психиатрия-наркология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/83fb0b53-75b7-85ee-5fbf-dde17e109459
Высшее медицинское;Кафедра психиатрии и клинической психологии;Психотерапия;повышение квалификации;Очная;15.02.2027-16.03.2027<br>03.05.2027-31.05.2027;144;Психотерапия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/ccbf71dd-74c6-bacb-91ff-ed3a745c0465
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Общая врачебная практика (семейная медицина);профессиональная переподготовка;Очная;01.02.2027-22.05.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/0645cdf9-e39d-7b50-63c9-f3d42c839399
Высшее медицинское;Кафедра семейной медицины и внутренних болзеней;Гериатрия;профессиональная переподготовка;Очная;18.01.2027-08.05.2027<br>06.09.2027-25.12.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/fcbcae9c-590a-113a-a722-809a4bed8881
Высшее медицинское;Кафедра семейной медицины и внутренних болзеней;Диетология;профессиональная переподготовка;Очная;01.02.2027-08.05.2027<br>20.09.2027-25.12.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/9d906045-239a-0e87-4611-a9c833d010d9
Высшее медицинское;Кафедра семейной медицины и внутренних болзеней;Профпатология;профессиональная переподготовка;Очная;25.01.2027-30.04.2027<br>13.09.2027-18.09.2027;504;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/8e94e760-d96e-bd55-8e7f-67892658dfba
Высшее медицинское;Кафедра семейной медицины и внутренних болзеней;Функциональная диагностика;профессиональная переподготовка;Очная;06.09.2027-25.12.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/e761fc6f-2c06-34a4-99ca-6fd923989b17
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Терапия;профессиональная переподготовка;Очная;01.02.2027-22.05.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/2c936017-fb20-c43b-0772-65e58b97e762
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Физическая и реабилитационная медицина;профессиональная переподготовка;Очная;11.01.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/a3ab6c75-c5e4-2f2d-4333-64288267d57b
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Лечебная физкультура и спортивная медицина;профессиональная переподготовка;Очная;11.01.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/37cf8bac-c030-dbc3-504e-d1bc32ce0837
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Физиотерапия;профессиональная переподготовка;Очная;11.01.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/e02bad62-80ce-50d4-0c38-4369cc0871fe
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Гериатрия;повышение квалификации;Очная;25.01.2027-20.02.2027<br>20.09.2027-16.10.2027;144;Гериатрия, Терапия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/b40cc8f4-fb9b-8171-06e1-25f2eb79692f
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Диетология;повышение квалификации;Очная;01.02.2027-27.02.2027<br>27.09.2027-23.10.2027;144;Диетология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/802343c0-03bb-065e-7137-3e451441b1af
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Диспансеризация и профилактические медицинские осмотры взрослого населения в первичном звене здравоохранения;повышение квалификации;Очная;18.01.2027-23.01.2027<br>11.10.2027-16.10.2027;36;Лечебное дело, Общая врачебная практика (семейная медицина), Терапия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/e5f4c9c9-9ef2-c68a-0b50-e607af07fcc8
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Диспансерное наблюдение пациентов с сердечно-сосудистыми заболеваниями;повышение квалификации;Очная;28.01.2027-30.01.2027<br>21.10.2027-23.10.2027;18;Лечебное дело, Общая врачебная практика (семейная медицина), Терапия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/8e32faff-d7d3-938d-9849-ee4a801ffe53
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Лицевые и орофациальные боли;повышение квалификации;Очная;17.02.2027-19.02.2027<br>20.10.2027-22.10.2027;18;Неврология, Нейрохирургия, Общая врачебная практика (семейная медицина), Стоматология общей практики, Стоматология общей практики (после специалитета), Стоматология терапевтическая;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/a298d0dd-43c3-8882-d2c1-b8f59337d368
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Неврология;повышение квалификации;Очная;01.02.2027-27.02.2027<br>04.10.2027-30.10.2027;144;Неврология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/5eedfac5-9c69-4954-964d-e94a22fcc488
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Общая врачебная практика (семейная медицина);повышение квалификации;Очная;01.02.2027-27.02.2027<br>06.09.2027-02.10.2027;144;Общая врачебная практика (семейная медицина);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/8b464eea-58ed-a083-11ba-61d20fb88efc
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Основы профпатологии. Проведение предварительных и периодических медицинских осмотров;повышение квалификации;Очная;08.02.2027-06.03.2027<br>05.04.2027-30.04.2027<br>11.10.2027-06.11.2027<br>29.11.2027-25.12.2027;144;Профпатология, Акушерство и гинекология, Аллергология и иммунология, Водолазная медицина, Дерматовенерология, Инфекционные болезни, Клиническая лабораторная диагностика, Лечебное дело, Неврология, Общая врачебная практика (семейная медицина), Онкология, Оториноларингология, Офтальмология, Психиатрия, Психиатрия-наркология, Стоматология общей практики, Стоматология общей практики (после специалитета), Стоматология терапевтическая, Терапия, Травматология и ортопедия, Урология, Функциональная диагностика, Хирургия, Эндокринология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/59b4abbf-d1c6-6d13-cbe1-a87ec3f6153e
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Офтальмология;повышение квалификации;Очная;22.03.2027-17.04.2027<br>27.09.2027-23.10.2027;144;Офтальмология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/8f3e414d-4ebc-7d4b-bc24-536fac2903e0
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Оценка функции внешнего дыхания в работе врача-клинициста и врача функциональной диагностики;повышение квалификации;Очная;15.03.2027-20.03.2027<br>25.10.2027-30.10.2027;36;Функциональная диагностика, Лечебное дело, Общая врачебная практика (семейная медицина), Пульмонология, Терапия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/7fe8284e-1d43-4c77-22c9-5e03112444d3
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Паллиативная медицинская помощь при неонкологических заболеваниях;повышение квалификации;Очная;15.02.2027-20.02.2027<br>17.05.2027-22.05.2027<br>18.10.2027-23.10.2027<br>13.12.2027-18.12.2027;36;Общая врачебная практика (семейная медицина), Гериатрия, Лечебное дело, Неврология, Терапия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/3ff0d4dc-b333-3ad5-14af-194d4355e086
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Повышение компетенции врача общей практики в вопросах психиатрии;повышение квалификации;Очная;22.02.2027-27.02.2027<br>27.09.2027-02.10.2027;36;Общая врачебная практика (семейная медицина), Терапия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/a770351b-6ff6-4089-b990-7ce9f78a28e2
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Проведение предварительных и периодических медицинских осмотров;повышение квалификации;Очная;08.02.2027-20.02.2027<br>05.04.2027-17.04.2027<br>11.10.2027-23.10.2027<br>29.11.2027-11.12.2027;72;Профпатология, Акушерство и гинекология, Аллергология и иммунология, Водолазная медицина, Дерматовенерология, Инфекционные болезни, Клиническая лабораторная диагностика, Лечебное дело, Неврология, Общая врачебная практика (семейная медицина), Онкология, Оториноларингология, Офтальмология, Психиатрия, Психиатрия-наркология, Стоматология общей практики, Стоматология общей практики (после специалитета), Стоматология терапевтическая, Терапия, Травматология и ортопедия, Урология, Функциональная диагностика, Хирургия, Эндокринология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/0f8dbbd0-46de-9eaa-86a0-4171be251721
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Профпатология;повышение квалификации;Очная;25.01.2027-20.02.2027<br>13.09.2027-09.10.2027;144;Профпатология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/a49a02a7-076d-0c8b-1ee9-04f0c7dc365d
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Ревматология;повышение квалификации;Очная;01.02.2027-27.02.2027;144;Ревматология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/b02a4108-34eb-b615-b49c-c0aa48f5460b
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Современные технологии оказания медицинской помощи лицам пожилого и старческого возраста;повышение квалификации;Очная;15.02.2027-20.02.2027<br>19.04.2027-24.04.2027<br>11.10.2027-16.10.2027<br>03.12.2027-11.12.2027;36;Терапия, Гериатрия, Кардиология, Лечебное дело, Неврология, Общая врачебная практика (семейная медицина), Травматология и ортопедия, Хирургия, Эндокринология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/f5e0a1fd-7135-4855-2ae9-ec15e7556c3e
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Функциональная диагностика;повышение квалификации;Очная;08.02.2027-06.03.2027<br>06.09.2027-02.10.2027;144;Функциональная диагностика;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/81cc251b-375c-6563-1672-d5cda28df491
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Частные вопросы эхокардиографии;повышение квалификации;Очная;05.04.2027-10.04.2027;36;Функциональная диагностика, Ультразвуковая диагностика, Кардиология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/64321b8e-376a-4ed6-9d23-6b21e923f56f
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Экспертиза временной нетрудоспособности;повышение квалификации;Очная;01.03.2027-13.03.2027<br>03.05.2027-15.05.2027<br>25.10.2027-06.11.2027;72;Общая врачебная практика (семейная медицина), Акушерство и гинекология, Аллергология и иммунология, Анестезиология-реаниматология, Гастроэнтерология, Гематология, Генетика, Гериатрия, Дерматовенерология, Детская кардиология, Детская онкология, Детская онкология-гематология, Детская урология-андрология, Детская хирургия, Детская эндокринология, Инфекционные болезни, Кардиология, Колопроктология, Лечебное дело, Неврология, Нейрохирургия, Нефрология, Онкология, Организация здравоохранения и общественное здоровье, Ортодонтия, Остеопатия, Оториноларингология, Офтальмология, Педиатрия, Педиатрия (после специалитета), Пластическая хирургия, Профпатология, Психиатрия, Психиатрия-наркология, Пульмонология, Радиотерапия, Ревматология, Сердечно-сосудистая хирургия, Стоматология детская, Стоматология общей практики, Стоматология общей практики (после специалитета), Стоматология ортопедическая, Стоматология терапевтическая, Стоматология хирургическая, Терапия, Токсикология, Торакальная хирургия, Травматология и ортопедия, Управление сестринской деятельностью, Урология, Фтизиатрия, Хирургия, Челюстно-лицевая хирургия, Эндокринология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/689d396e-04b0-dba9-fc31-946d461df470
Высшее медицинское;Кафедра семейной медицины и внутренних болезней;Экспертиза временной нетрудоспособности и качества оказания медицинской помощи;повышение квалификации;Очная;01.03.2027-27.03.2027<br>03.05.2027-29.05.2027<br>25.10.2027-19.11.2027;144;Общая врачебная практика (семейная медицина), Акушерство и гинекология, Аллергология и иммунология, Анестезиология-реаниматология, Гастроэнтерология, Гематология, Генетика, Гериатрия, Дерматовенерология, Детская кардиология, Детская онкология, Детская онкология-гематология, Детская урология-андрология, Детская хирургия, Детская эндокринология, Инфекционные болезни, Кардиология, Колопроктология, Лечебное дело, Неврология, Нейрохирургия, Нефрология, Онкология, Организация здравоохранения и общественное здоровье, Ортодонтия, Остеопатия, Оториноларингология, Офтальмология, Педиатрия, Педиатрия (после специалитета), Пластическая хирургия, Профпатология, Психиатрия, Психиатрия-наркология, Пульмонология, Радиотерапия, Ревматология, Сердечно-сосудистая хирургия, Стоматология детская, Стоматология общей практики, Стоматология общей практики (после специалитета), Стоматология ортопедическая, Стоматология терапевтическая, Стоматология хирургическая, Терапия, Токсикология, Торакальная хирургия, Травматология и ортопедия, Управление сестринской деятельностью, Урология, Фтизиатрия, Хирургия, Челюстно-лицевая хирургия, Эндокринология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/16f95fb0-de83-e945-d6b3-e33ecb225ea4
Среднее профессиональное;Кафедра семейной медицины и внутренних болзеней;Диспансерное наблюдение пациентов с сердечно-сосудистыми заболеваниями;повышение квалификации;Очная;28.01.2027-30.01.2027<br>21.10.2027-23.10.2027;18;Лечебное дело;Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/af19e6f4-f1e2-772c-c82c-4d1184f21dbc
Среднее профессиональное;Кафедра семейной медицины и внутренних болзеней;Диспансеризация и профилактические медицинские осмотры взрослого населения в первичном звене здравоохранения;повышение квалификации;Очная;18.01.2027-23.01.2027<br>11.10.2027-16.10.2027;36;Лечебное дело;Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/0344daf3-62ca-83d3-3344-5c80255a7935
Среднее профессиональное;Кафедра семейной медицины и внутренних болзеней;Экспертиза временной нетрудоспособности;повышение квалификации;Очная;01.03.2027-13.03.2027<br>03.05.2027-15.05.2027<br>25.10.2027-06.11.2027;72;Лечебное дело;Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/9c33dc12-e3fb-7d9e-0fa2-dd425fdcf4bc
Среднее профессиональное;Кафедра семейной медицины и внутренних болзеней;Экспертиза временной нетрудоспособности и качества оказания медицинской помощи;повышение квалификации;Очная;01.03.2027-27.03.2027<br>03.05.2027-29.05.2027<br>25.10.2027-19.11.2027;144;Лечебное дело;Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/4c0440ff-9e04-ba65-34c2-97c1c458060c
Высшее медицинское;Кафедра терапевтической стоматологии;Стоматология терапевтическая;профессиональная переподготовка;Очная;18.01.2027-24.05.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/22d3246a-e60b-2b7e-10f0-a8617d83b191
Высшее медицинское;Кафедра терапевтической стоматологии;Клиника, диагностика и лечение заболеваний слизистой оболочки полости рта;повышение квалификации;Очная;22.11.2027-27.11.2027;36;Стоматология терапевтическая, Стоматология общей практики, Стоматология общей практики (после специалитета);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/4b4e7ec8-8b5e-41b9-972b-c833d9beb80a
Высшее медицинское;Кафедра терапевтической стоматологии;Клиника, диагностика и лечение заболеваний твёрдых тканей зубов;повышение квалификации;Очная;17.05.2027-22.05.2027;36;Стоматология терапевтическая, Стоматология общей практики, Стоматология общей практики (после специалитета);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/c183af11-cf60-4df6-8224-f690eb11f79d
Высшее медицинское;Кафедра терапевтической стоматологии;Онконастороженность в стоматологии;повышение квалификации;Очная;15.11.2027-20.11.2027;36;Стоматология общей практики (после специалитета), Ортодонтия, Стоматология детская, Стоматология общей практики, Стоматология ортопедическая, Стоматология терапевтическая, Стоматология хирургическая, Челюстно-лицевая хирургия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/8896eb93-700d-ca32-e986-eada3c2cc0cf
Высшее медицинское;Кафедра терапевтической стоматологии;Стоматология общей практики;повышение квалификации;Очная;22.02.2027-20.03.2027<br>13.09.2027-09.10.2027;144;Стоматология общей практики, Стоматология общей практики (после специалитета);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/248c40ae-82f6-99e6-f292-2d9f47cf54e2
Высшее медицинское;Кафедра терапевтической стоматологии;Стоматология общей практики (выезд Череповец);повышение квалификации;Очная;29.03.2027-16.04.2027;144;Стоматология общей практики, Стоматология общей практики (после специалитета);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/248c40ae-82f6-99e6-f292-2d9f47cf54e2
Высшее медицинское;Кафедра терапевтической стоматологии;Стоматология терапевтическая;повышение квалификации;Очная;18.01.2027-13.02.2027<br>11.10.2027-06.11.2027;144;Стоматология терапевтическая;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/679e7f14-26bd-165e-de90-20c3390469a0
Высшее медицинское;Кафедра терапевтической стоматологии;Стоматология терапевтическая (выезд Череповец);повышение квалификации;Очная;29.03.2027-16.04.2027;144;Стоматология терапевтическая;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/679e7f14-26bd-165e-de90-20c3390469a0
Высшее медицинское;Кафедра терапевтической стоматологии;Эндодонтия. Болезни пульпы и периодонта.;повышение квалификации;Очная;15.02.2027-20.02.2027;36;Стоматология терапевтическая, Стоматология общей практики, Стоматология общей практики (после специалитета);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/97db7e13-322e-4416-bdc9-1c8a82f34d44
Среднее профессиональное;Кафедра терапевтической стоматологии;Онконастороженность в стоматологии;повышение квалификации;Очная;24.05.2027-29.05.2027;36;Стоматология, Стоматология профилактическая;Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/e6c0e3c2-ef41-47f8-aa7e-06bf3077e0ab
Высшее медицинское;Кафедра травматологии, ортопедии и военной хирургии;Травматология и ортопедия;повышение квалификации;Очная;01.03.2027-27.03.2027;144;Травматология и ортопедия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/3a4aca59-3b26-6815-7400-4a1e1c7ac642
Высшее медицинское;Кафедра травматологии, ортопедии и военной хирургии;Политравма. множественные и сочетанные повреждения опорно-двигательной системы;повышение квалификации;Очная;09.03.2027-15.03.2027<br>12.04.2027-17.04.2027;36;Травматология и ортопедия, Хирургия, Детская хирургия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/3bc1a597-1c56-6c56-425f-8ab01687b25a
Высшее медицинское;Кафедра травматологии, ортопедии и военной хирургии;Политравма. Множественные, сочетанные и комбинированные повреждения. Медицинская помощь на догоспитальном этапе;повышение квалификации;Очная;01.03.2027-03.03.2027<br>05.04.2027-07.04.2027;18;Скорая медицинская помощь;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/c437ac78-8e61-bbb7-8bf5-4d19900183f0
Среднее профессиональное;Кафедра травматологии, ортопедии и военной хирургии;Политравма. Множественные, сочетанные и комбинированные повреждения. Медицинская помощь на догоспитальном этапе;повышение квалификации;Очная;01.03.2027-03.03.2027<br>05.04.2027-07.04.2027;18;Скорая медицинская помощь;Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/419da1da-fcc4-0774-c9d3-5a3b75d6399b
